"typeID";"groupID";"typeName";"description";"graphicID";"radius";"mass";"volume";"capacity";"portionSize";"raceID";"basePrice";"published";"marketGroupID";"chanceOfDuplicating"
"0";"0";"#System";"";"";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"2";"2";"Corporation";"";"2";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"3";"3";"Region";"";"4";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"4";"4";"Constellation";"";"5";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"5";"5";"Solar System";"";"6";"5000000000000";"0";"1";"0";"1";"";"0";"False";"";"0"
"6";"6";"Sun G5 (Yellow)";"";"1015";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"7";"6";"Sun K7 (Orange)";"";"1012";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"8";"6";"Sun K5 (Red Giant)";"";"1013";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"9";"6";"Sun B0 (Blue)";"";"1011";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"10";"6";"Sun F0 ( White )";"";"1014";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"11";"7";"Planet (Solid)";"";"202";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"12";"7";"Planet (Ice)";"";"212";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"13";"7";"Planet (Gas)";"";"214";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"14";"8";"Moon";"";"10";"10000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"15";"9";"Asteroid Belt";"";"11";"1";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"16";"10";"Stargate (Caldari System)";"";"235";"3836";"9.9999999999999997E+34";"1";"0";"1";"1";"0";"False";"";"0"
"17";"10";"Stargate (Amarr Constellation)";"";"236";"2323";"9.9999999999999997E+34";"1";"0";"1";"4";"0";"False";"";"0"
"18";"458";"Plagioclase";"Plagioclase is not amongst the most valuable ore types around, but it has the largest amount of pyerite of any ore and is thus always in constant demand. It also yields some tritanium and mexallon. It requires 333 ore units to refine.";"230";"1";"9.9999999999999997E+34";"0.34999999999999998";"0";"333";"";"12800";"True";"516";"0"
"19";"461";"Spodumain";"Spodumain is amongst the most valuable ore types around, as it is one of only three ore types that yields the ultra-rare megacyte. Otherwise very plain, with a bit of tritanium and pyerite. 250 ore units are needed to refine. ";"1274";"1";"9.9999999999999997E+34";"16";"0";"250";"";"1149400";"True";"517";"0"
"20";"457";"Kernite";"Kernite is a fairly common ore type that yields the largest amount of mexallon of any ore types in the world. Besides mexallon the Kernite also has a bit of tritanium and isogen. 400 units of ore are needed for refining.";"1270";"1";"9.9999999999999997E+34";"1.2";"0";"400";"";"74916";"True";"523";"0"
"21";"454";"Hedbergite";"Hedbergite is sought after for its high concentration of isogen, although the high portion size needed for refining makes it a bit less attractive.  Hedbergite also yields some Nocxium and a small amount of Zydrine. 500 ore units are needed to refine it.";"1269";"1";"9.9999999999999997E+34";"3";"0";"500";"";"337408";"True";"527";"0"
"22";"450";"Arkonor";"The rarest and most sought-after ore in the known world. A sizable nugget of this can sweep anyone from rags to riches in no time. Arkonor has the largest amount of megacyte of any ore, and also contains some zydrine and tritanium. The portion size for refining is 200 ore units.";"1277";"1";"9.9999999999999997E+34";"16";"0";"200";"";"3068504";"True";"512";"0"
"23";"12";"Cargo Container";"This cargo container is flimsily constructed and may not survive the rigors of space for more than an hour or so.";"16";"14";"10000";"27500";"27500";"1";"";"0";"False";"";"0"
"24";"13";"Ring";"";"0";"4500000";"9.9999999999999997E+34";"1";"0";"1";"";"0";"False";"";"0"
"25";"14";"Corpse";"";"398";"1";"200";"2";"0";"1";"";"0";"False";"";"0"
"26";"16";"Office Folder";"";"18";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"27";"16";"Office";"";"19";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"28";"16";"Factory Folder";"";"292";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"29";"17";"Credits";"";"21";"0";"0";"0";"0";"57344";"";"57344";"False";"";"0"
"30";"19";"Faction";"";"";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"34";"18";"Tritanium";"The main building block in space structures. A very hard, yet bendable metal. Cannot be used in human habitats due to its instability at atmospheric temperatures. Very common throughout the world.";"399";"0";"0";"0.01";"0";"1";"";"2";"True";"18";"0"
"35";"18";"Pyerite";"A soft crystal-like mineral with a very distinguishing orange glow as if on fire. Used as conduit and in the bio-chemical industry. Commonly found in many asteroid-ore types.";"1203";"0";"0";"0.01";"0";"1";"";"8";"True";"18";"0"
"36";"18";"Mexallon";"Very flexible metallic mineral, dull to bright silvery green in color. Can be mixed with tritanium to make extremely hard alloys or it can be used by itself for various purposes. Fairly common in most regions.";"401";"0";"0";"0.01";"0";"1";"";"32";"True";"18";"0"
"37";"18";"Isogen";"Light-bluish crystal, formed by intense pressure deep within large asteroids and moons. Used in electronic and weapon manufacturing. Only found in abundance in a few areas. ";"402";"0";"0";"0.01";"0";"1";"";"128";"True";"18";"0"
"38";"18";"Nocxium";"A highly volatile mineral only formed during supernovas, thus severely limiting the extent of its distribution. Vital ingredient in capsule production, making it very coveted.";"1201";"0";"0";"0.01";"0";"1";"";"512";"True";"18";"0"
"39";"18";"Zydrine";"Only found in huge geodes; rocks on the outside with crystal-like quartz on the inside. The rarest and most precious of these geodes are those that contain the dark green zydrine within. Very rare and very expensive.";"404";"0";"0";"0.01";"0";"1";"";"2048";"True";"18";"0"
"40";"18";"Megacyte";"An extremely rare mineral found in comets and very occasionally in asteroids that have traveled through gas clouds. Has unique explosive traits that make it very valuable in the armaments industry. ";"1202";"0";"0";"0.01";"0";"1";"";"8192";"True";"18";"0"
"41";"280";"Garbage";"Production waste can mean garbage to some but valuable resource material to others.";"1179";"0";"2500";"0.25";"0";"1";"";"20";"True";"20";"0"
"42";"280";"Spiced Wine";"Luxury goods are always solid commodities for inter-stellar trading. Spiced wine is not the rarest of luxury goods, but it can still be sold at small outposts and bases that don't manufacture any themselves.";"27";"0";"500";"0.5";"0";"1";"";"1500";"True";"492";"0"
"43";"280";"Antibiotics";"Antibiotics are in constant demand everywhere and new, more potent versions, are always made available to counter the increased immunity of bacteria against antibiotics.";"28";"0";"5";"0.20000000000000001";"0";"1";"";"325";"True";"492";"0"
"44";"282";"Enriched Uranium";"Enriched Uranium is used in many kinds of manufacturing and as a fuel, making it a steady trade commodity.  Enriched Uranium is generally manufactured by combining standard semiconductor PVD methods with ionic separation by means of mass spectrometry.";"29";"0";"2000";"1";"0";"1";"";"5000";"True";"22";"0"
"45";"281";"Frozen Plant Seeds";"Frozen plant seeds are in high demand in many regions, especially on stations orbiting a non-habitable planet.";"1200";"0";"400";"0.5";"0";"1";"";"75";"True";"492";"0"
"48";"20";"Personal Nuclear Methadone";"Nuclear Methadone is a potent and popular smart drug, which can boost your abilities for a short while. It is illegal in Caldari space and you'll be branded a smuggler if found carrying it therein. You can buy and sell Nuclear Methadone just like any other trade commodity, but you can also buy dosages for personal usage.  This is the personal version.";"32";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"49";"24";"Player Kill";"Kill confirmation";"37";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"50";"24";"Company Shares";"Shares of a corporation.";"2243";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"51";"24";"Bookmark";"";"1700";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"52";"94";"Trading";"";"195";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"53";"95";"Trade Session";"";"196";"0";"0";"0";"0";"1";"";"0";"False";"";"0"
"54";"15";"Station (Caldari 4)";"";"237";"15351";"0";"1";"0";"1";"1";"600000";"False";"";"0"
"56";"15";"Station (Gallente 1)";"";"239";"23836";"0";"1";"0";"1";"8";"600000";"False";"";"0"
"57";"15";"Station (Gallente 2)";"";"240";"27072";"0";"1";"0";"1";"8";"600000";"False";"";"0"
"58";"15";"C-O-1";"Caldari Outpost 1";"346";"1000";"0";"1";"0";"1";"1";"600000";"False";"";"0"
"59";"15";"C-O-2";"Caldari Outpost 2";"347";"1000";"0";"1";"0";"1";"1";"600000";"False";"";"0"
"164";"23";"Clone Grade Alpha";"";"34";"0";"0";"1";"0";"1";"";"0";"False";"";"0"
"165";"23";"Clone Grade Beta";"";"35";"0";"0";"1";"0";"1";"";"40000";"False";"";"0"
"166";"23";"Clone Grade Gamma";"";"36";"0";"0";"1";"0";"1";"";"65000";"False";"";"0"
"178";"83";"Carbonized Lead S";"Small Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem. ";"1308";"1";"0.01";"4.0000000000000001E-3";"0";"100";"";"200";"True";"113";"7.0000000000000007E-2"
"179";"83";"Nuclear S";"Small Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.  ";"1288";"1";"0.01";"3.5000000000000001E-3";"0";"100";"";"300";"True";"113";"7.0000000000000007E-2"
"180";"83";"Proton S";"Small Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor. ";"1290";"1";"0.01";"3.0000000000000001E-3";"0";"100";"";"400";"True";"113";"7.0000000000000007E-2"
"181";"83";"Depleted Uranium S";"Small projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead. ";"1285";"1";"0.01";"2.5000000000000001E-3";"0";"100";"";"500";"True";"113";"7.0000000000000007E-2"
"182";"83";"Titanium Sabot S";"Small Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure. ";"1291";"1";"0.01";"3.2499999999999999E-3";"0";"100";"";"600";"True";"113";"7.0000000000000007E-2"
"183";"83";"Fusion S";"Small Projectile Ammo.The destructive power of a fusion warhead is superior to most other projectile warheads available. Has problems penetrating heavy shield systems. ";"1287";"1";"0.01";"3.7499999999999999E-3";"0";"100";"";"700";"True";"113";"7.0000000000000007E-2"
"184";"83";"Phased Plasma S";"Small Projectile Ammo.This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell. ";"1289";"1";"0.01";"4.2500000000000003E-3";"0";"100";"";"800";"True";"113";"7.0000000000000007E-2"
"185";"83";"EMP S";"Small projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields. Small projectile Ammo";"1286";"1";"0.01";"5.0000000000000001E-3";"0";"100";"";"1000";"True";"113";"7.0000000000000007E-2"
"186";"83";"Carbonized Lead M";"Medium Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.";"1292";"1";"5.0000000000000003E-2";"0.02";"0";"100";"";"800";"True";"112";"7.0000000000000007E-2"
"187";"83";"Nuclear M";"Medium Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space. Used In Medium Projectile Weapons";"1296";"1";"5.0000000000000003E-2";"1.7500000000000002E-2";"0";"100";"";"1200";"True";"112";"7.0000000000000007E-2"
"188";"83";"Proton M";"Medium Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.Used In Medium Projectile Weapons";"1298";"1";"1";"1.4999999999999999E-2";"0";"100";"";"1650";"True";"112";"7.0000000000000007E-2"
"189";"83";"Depleted Uranium M";"Medium Projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.";"1293";"1";"1";"1.2500000000000001E-2";"0";"100";"";"2050";"True";"112";"7.0000000000000007E-2"
"190";"83";"Titanium Sabot M";"Medium Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.Used In Medium Projectile Weapons";"1299";"1";"1";"1.6250000000000001E-2";"0";"100";"";"2350";"True";"112";"7.0000000000000007E-2"
"191";"83";"Fusion M";"Medium Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warhead available. Has problems penetrating heavy shield systems.";"1295";"1";"1";"1.8749999999999999E-2";"0";"100";"";"2750";"True";"112";"7.0000000000000007E-2"
"192";"83";"Phased Plasma M";"Medium Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.";"1297";"1";"1";"2.1250000000000002E-2";"0";"100";"";"3250";"True";"112";"7.0000000000000007E-2"
"193";"83";"EMP M";"Medium Projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.";"1294";"1";"1";"2.5000000000000001E-2";"0";"100";"";"4000";"True";"112";"7.0000000000000007E-2"
"194";"83";"Carbonized Lead L";"Large Projectile Ammo. This ammo uses a simple lead slug encased in a hard shell of crystalline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.";"1300";"10";"1";"4.0000000000000001E-2";"0";"100";"";"2000";"True";"109";"7.0000000000000007E-2"
"195";"83";"Nuclear L";"Large Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space. ";"1304";"10";"1";"3.5000000000000003E-2";"0";"100";"";"3000";"True";"109";"7.0000000000000007E-2"
"196";"83";"Proton L";"Large Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.";"1306";"10";"1";"2.9999999999999999E-2";"0";"100";"";"4000";"True";"109";"7.0000000000000007E-2"
"197";"83";"Depleted Uranium L";"Large Projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.";"1301";"10";"1";"2.5000000000000001E-2";"0";"100";"";"5000";"True";"109";"7.0000000000000007E-2"
"198";"83";"Titanium Sabot L";"Large Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.";"1307";"10";"1";"3.2500000000000001E-2";"0";"100";"";"6000";"True";"109";"7.0000000000000007E-2"
"199";"83";"Fusion L";"Large Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warhead available. Has problems penetrating heavy shield systems.";"1303";"10";"1";"3.7499999999999999E-2";"0";"100";"";"7000";"True";"109";"7.0000000000000007E-2"
"200";"83";"Phased Plasma L";"Large Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.  ";"1305";"10";"1";"4.2500000000000003E-2";"0";"100";"";"8000";"True";"109";"7.0000000000000007E-2"
"201";"83";"EMP L";"Large Projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.";"1302";"10";"1";"5.0000000000000003E-2";"0";"100";"";"10000";"True";"109";"7.0000000000000007E-2"
"202";"386";"Paradise Cruise Missile";"Extra heavy assault missile. The mother of all missiles, the Paradise delivers a tremendous payload, guaranteed to get its victims acquainted with their personal god in a quick, but painful manner.";"182";"300";"1250";"5.0000000000000003E-2";"0";"100";"";"15000";"True";"921";"7.0000000000000007E-2"
"203";"386";"Wrath Cruise Missile";"Extra heavy assault missile. The first and only Minmatar-made large missile. Constructed of reactionary alloys, the Wrath is built to get to the target. Guidance and propulsion systems are of Gallentean origin and were inititally used in drones, making Wrath fast and nimble despite its heavy payload. ";"183";"300";"1250";"5.0000000000000003E-2";"0";"100";"";"10000";"True";"921";"7.0000000000000007E-2"
"204";"386";"Cataclysm Cruise Missile";"Extra heavy assault missile. An Amarrian large missile with good capabilities, the Cataclysm was for a long time confined solely to the Amarr armed forces, but exports began some years ago and the missile is now found throughout the universe.";"184";"300";"1250";"5.0000000000000003E-2";"0";"100";"";"12500";"True";"921";"7.0000000000000007E-2"
"205";"386";"Devastator Cruise Missile";"Extra heavy assault missile. A very basic missile for large launchers with reasonable payload. Utilizes the now sub-standard technology of bulls-eye guidance system.";"185";"300";"1250";"5.0000000000000003E-2";"0";"100";"";"7500";"True";"921";"7.0000000000000007E-2"
"206";"385";"Havoc Heavy Missile";"The be-all-end-all of medium sized missiles, the Havoc is a must for those who want a guaranteed kill no matter the cost.";"186";"300";"1000";"2.9999999999999999E-2";"0";"100";"";"2000";"True";"924";"7.0000000000000007E-2"
"207";"385";"Thunderbolt Heavy Missile";"Recently introduced by the armaments lab of the Wiyrkomi Corporation, the Thunderbolt is a solid investment with a large payload and steady performance.";"187";"300";"1000";"2.9999999999999999E-2";"0";"100";"";"3500";"True";"924";"7.0000000000000007E-2"
"208";"385";"Widowmaker Heavy Missile";"Originally designed as a 'finisher' - the killing blow to a crippled ship - the Widowmaker has since gone through various technological upgrades. The latest version has a lighter payload than the original, but much improved guidance systems.";"188";"300";"1000";"2.9999999999999999E-2";"0";"100";"";"3000";"True";"924";"7.0000000000000007E-2"
"209";"385";"Scourge Heavy Missile";"The Scourge is an old relic from the Caldari-Gallente War that is still in widespread use because of its low price and versatility.";"189";"300";"1000";"2.9999999999999999E-2";"0";"100";"";"2500";"True";"924";"7.0000000000000007E-2"
"210";"384";"Bloodclaw Light Missile";"Light assault missile. Fresh out of the Minmatar design labs, the Bloodclaw has quickly established itself throughout the galaxy as the ultimate missile for small launchers.";"190";"300";"700";"1.4999999999999999E-2";"0";"100";"";"500";"True";"920";"7.0000000000000007E-2"
"211";"384";"Flameburst Light Missile";"Light assault missile. The explosion the Flameburst missile creates upon impact is stunning enough for any display of fireworks - just ten times more deadly. Its warhead's primary function is to destroy armor.";"191";"300";"700";"1.4999999999999999E-2";"0";"100";"";"624";"True";"920";"7.0000000000000007E-2"
"212";"384";"Sabretooth Light Missile";"Light assault missile. An advanced missile with a volatile payload of magnetized plasma, the Sabretooth is a multi-purpose missile specifically engineered to take down shield systems.";"192";"300";"700";"1.4999999999999999E-2";"0";"100";"";"750";"True";"920";"7.0000000000000007E-2"
"213";"384";"Piranha Light Missile";"Light assault missile. The Piranha is a tiny nuclear missile based on a classic Minmatar design that has been in use since the early days of the Minmatar Resistance.     ";"193";"300";"700";"1.4999999999999999E-2";"0";"100";"";"370";"True";"920";"7.0000000000000007E-2"
"215";"85";"Iron Charge S";"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.     ";"1311";"1";"0.01";"5.0000000000000001E-3";"0";"100";"";"200";"True";"107";"7.0000000000000007E-2"
